PAY_1,LIMIT_BAL,BILL_AMT1,PAY_AMT1,PAY_AMT2,PAY_2,MARRIAGE,SEX,EDUCATION,default_pay
-1,80000.0,1689.0,8638.0,5723.0,-1,1,2,2,0
0,290000.0,20807.0,80000.0,3000.0,0,2,2,2,0
0,230000.0,30141.0,120093.0,8034.0,0,2,2,1,0
0,230000.0,28114.0,1610.0,1224.0,0,2,1,2,0
0,500000.0,59372.0,10026.0,7241.0,0,1,1,2,0
0,400000.0,366193.0,14020.0,13595.0,0,2,2,2,0
0,250000.0,44930.0,120041.0,4435.0,0,1,2,2,0
0,70000.0,41264.0,2112.0,1200.0,0,2,2,2,0
-1,230000.0,6865.0,15111.0,13165.0,-1,1,2,1,0
0,320000.0,93768.0,3317.0,3506.0,0,1,1,2,0
-2,90000.0,573.0,157.0,0.0,-2,2,2,2,0
2,30000.0,28703.0,1300.0,2.0,2,1,2,2,0
0,170000.0,28304.0,4000.0,308.0,0,2,2,2,0
-1,250000.0,66.0,0.0,0.0,-1,1,2,1,0
-2,30000.0,0.0,0.0,0.0,-2,1,1,6,0
-1,500000.0,3959.0,0.0,285138.0,-1,2,2,2,0
0,80000.0,21507.0,1700.0,1400.0,0,1,2,2,0
-1,120000.0,884.0,0.0,0.0,-1,2,1,1,0
-1,360000.0,20223.0,53228.0,3997.0,-1,2,1,1,0
0,70000.0,68739.0,3060.0,3300.0,0,1,1,3,0
0,290000.0,93844.0,6000.0,7000.0,0,1,2,1,0
0,210000.0,67374.0,3200.0,3200.0,0,2,2,1,0
-1,220000.0,1692.0,13250.0,433.0,-1,2,2,2,0
1,20000.0,18649.0,0.0,1594.0,2,2,1,2,0
0,50000.0,34549.0,2836.0,1200.0,0,2,1,2,0
-2,50000.0,2411.0,3068.0,2440.0,-2,2,1,1,0
0,440000.0,330759.0,13100.0,11000.0,0,2,2,1,0
0,120000.0,92007.0,5417.0,2847.0,0,1,1,2,0
0,100000.0,30092.0,1553.0,5000.0,0,2,2,1,0
-1,360000.0,12339.0,10000.0,13912.0,0,1,2,1,0
-1,230000.0,2403.0,7357.0,2566.0,-1,2,2,1,0
0,120000.0,52437.0,5024.0,5000.0,0,2,1,1,0
1,240000.0,0.0,6370.0,0.0,-1,1,2,1,0
0,630000.0,37850.0,38187.0,1207.0,0,1,2,2,0
0,20000.0,17208.0,2055.0,0.0,0,2,1,2,0
-2,360000.0,640.0,2231.0,0.0,-2,2,2,2,0
2,390000.0,834.0,1.0,1693.0,2,2,2,1,0
-2,250000.0,7244.0,8514.0,1751.0,-2,2,2,3,0
0,270000.0,18751.0,1000.0,0.0,0,1,2,1,0
1,200000.0,55788.0,8394.0,4927.0,-1,2,2,1,0
0,50000.0,49809.0,2040.0,2766.0,0,2,2,2,0
-1,350000.0,10900.0,10530.0,0.0,-1,2,1,1,0
-1,80000.0,3367.0,4641.0,2290.0,-1,1,2,3,0
-1,160000.0,1433.0,3757.0,30348.0,-1,2,1,1,0
0,130000.0,131575.0,6700.0,6000.0,0,2,2,2,0
-1,260000.0,5841.0,23194.0,50000.0,-1,1,2,2,0
0,50000.0,34976.0,1127.0,1074.0,0,1,1,1,0
0,80000.0,48747.0,2145.0,1844.0,0,1,1,2,0
0,200000.0,144678.0,5090.0,5014.0,0,1,1,1,0
0,360000.0,268112.0,9429.0,8738.0,0,2,1,2,0
2,80000.0,79243.0,3249.0,3000.0,0,2,2,2,0
0,310000.0,23396.0,1426.0,1379.0,0,1,2,2,0
0,220000.0,44177.0,1006.0,32906.0,0,2,1,1,0
0,150000.0,21724.0,2100.0,1200.0,0,2,1,1,0
1,200000.0,0.0,0.0,0.0,-2,1,2,1,0
0,270000.0,137807.0,5000.0,5000.0,0,1,2,2,0
0,60000.0,58839.0,2018.0,1900.0,0,2,1,1,0
0,200000.0,80833.0,3315.0,3088.0,0,1,2,2,0
0,150000.0,36146.0,3000.0,3000.0,0,1,2,2,0
-1,230000.0,660.0,660.0,660.0,-1,1,1,1,0
0,30000.0,29434.0,1465.0,2000.0,0,1,1,3,0
-1,100000.0,1440.0,0.0,0.0,-1,2,1,3,0
0,110000.0,46486.0,4086.0,1428.0,0,1,1,3,0
0,50000.0,21986.0,1362.0,1294.0,0,1,1,2,0
-1,400000.0,60125.0,1981.0,4521.0,-1,2,2,1,0
0,170000.0,56364.0,3000.0,3000.0,0,2,1,2,0
0,280000.0,148363.0,6900.0,6867.0,0,1,1,2,0
0,210000.0,46255.0,5000.0,5000.0,0,2,2,2,0
1,150000.0,214450.0,5180.0,5000.0,-1,2,1,3,0
0,80000.0,77615.0,3100.0,2586.0,0,2,2,2,0
0,240000.0,14348.0,1000.0,7816.0,0,2,2,2,0
0,20000.0,20137.0,1300.0,1301.0,0,2,2,1,0
0,290000.0,13820.0,2000.0,1300.0,0,2,2,3,0
0,80000.0,53261.0,4500.0,2011.0,0,2,2,1,0
-1,280000.0,427.0,0.0,1179.0,2,2,2,2,0
-2,160000.0,14150.0,8106.0,12431.0,-2,1,2,1,0
-1,140000.0,1034.0,40000.0,0.0,-1,2,2,1,0
2,30000.0,99568.0,33000.0,33000.0,-1,2,2,2,0
0,320000.0,97797.0,4520.0,5050.0,0,1,2,1,0
0,200000.0,71989.0,52129.0,30000.0,0,2,1,1,0
-1,300000.0,3345.0,1087.0,4355.0,-1,2,2,2,0
0,110000.0,26650.0,1532.0,2000.0,0,3,2,2,0
-2,230000.0,0.0,0.0,1024.0,-2,2,2,1,0
0,230000.0,4259.0,1250.0,1000.0,0,1,2,1,0
0,310000.0,106468.0,8000.0,6000.0,0,2,2,2,0
0,170000.0,162671.0,7500.0,6000.0,0,2,2,2,0
0,80000.0,51372.0,1853.0,1700.0,0,2,1,2,0
0,150000.0,60015.0,20000.0,30000.0,0,2,1,2,0
-2,320000.0,43528.0,500.0,431.0,-2,1,1,2,0
0,50000.0,27966.0,1267.0,1553.0,0,1,2,1,0
-2,280000.0,28026.0,41346.0,52110.0,-2,1,1,1,0
1,30000.0,22582.0,4600.0,0.0,2,3,2,2,0
0,50000.0,17681.0,1611.0,2000.0,0,3,1,1,0
-2,400000.0,203.0,770.0,667.0,-2,2,2,1,0
-1,320000.0,9192.0,13942.0,4022.0,-1,1,1,1,0
-1,360000.0,12865.0,4484.0,19623.0,-1,2,2,2,0
0,330000.0,49549.0,90000.0,3000.0,0,2,2,2,0
0,200000.0,152856.0,6000.0,5000.0,0,1,1,2,0
-1,160000.0,316.0,316.0,0.0,-1,1,2,1,0
0,610000.0,142764.0,6540.0,2100.0,0,2,2,1,0
0,170000.0,109863.0,4380.0,3000.0,0,1,2,2,0
-2,260000.0,29484.0,10000.0,3000.0,-2,1,2,2,0
0,170000.0,21310.0,2000.0,2000.0,0,2,1,3,0
2,90000.0,84710.0,4000.0,3258.0,0,2,2,1,0
-1,500000.0,43346.0,4006.0,2383.0,0,2,2,2,0
0,140000.0,4113.0,2000.0,16025.0,0,2,2,2,0
0,420000.0,25103.0,1509.0,1067.0,0,2,2,2,0
-1,260000.0,7967.0,67650.0,6000.0,-1,1,2,2,0
-1,210000.0,11442.0,3738.0,7526.0,-1,2,2,1,0
-1,220000.0,158.0,0.0,0.0,-1,1,1,2,0
-1,360000.0,10733.0,15206.0,15032.0,-1,2,2,2,0
-2,200000.0,12716.0,16244.0,1963.0,-2,2,1,1,0
1,50000.0,0.0,0.0,190.0,-2,2,2,2,0
0,230000.0,40732.0,5000.0,0.0,0,2,1,1,0
1,500000.0,31421.0,22157.0,0.0,-2,2,2,1,0
-1,230000.0,2648.0,200.0,1950.0,-1,1,2,1,0
1,70000.0,-54.0,600.0,19.0,-1,2,1,1,0
-1,410000.0,5335.0,5400.0,0.0,-1,2,1,1,0
0,50000.0,46750.0,2320.0,1282.0,0,1,2,1,0
-1,50000.0,2000.0,780.0,0.0,-1,1,2,3,0
0,220000.0,31037.0,3050.0,0.0,0,2,1,2,0
0,160000.0,2694.0,35888.0,1325.0,0,0,2,2,0
0,700000.0,99259.0,5000.0,10000.0,0,1,2,1,0
-1,300000.0,24921.0,2000.0,3000.0,0,1,2,3,0
0,280000.0,213738.0,20300.0,0.0,0,1,2,2,0
0,60000.0,15380.0,4147.0,19435.0,-1,2,1,1,0
1,170000.0,0.0,7042.0,2986.0,-1,2,2,2,0
1,50000.0,27087.0,0.0,1400.0,2,1,2,2,0
-1,200000.0,3035.0,199646.0,720.0,-1,1,2,2,0
0,50000.0,20944.0,2360.0,49325.0,-1,1,2,2,0
-1,230000.0,550.0,0.0,13013.0,-1,2,2,3,0
0,110000.0,15069.0,1600.0,1300.0,0,1,2,2,0
0,420000.0,88948.0,30000.0,10575.0,0,1,1,2,0
1,80000.0,79318.0,2000.0,2201.0,2,2,2,2,0
0,350000.0,67648.0,3039.0,2047.0,0,1,2,2,0
0,500000.0,315201.0,25000.0,50000.0,0,1,1,3,0
-1,490000.0,4290.0,4738.0,2803.0,-1,1,2,1,0
-2,300000.0,205064.0,0.0,0.0,-2,1,2,2,0
0,50000.0,4987.0,2000.0,3000.0,0,2,2,3,0
-2,50000.0,0.0,0.0,0.0,-2,2,1,1,0
0,200000.0,43515.0,1739.0,1756.0,0,2,1,1,0
0,180000.0,119333.0,6000.0,0.0,0,2,2,2,0
0,100000.0,29109.0,0.0,0.0,0,2,1,1,0
0,140000.0,105192.0,3000.0,6000.0,0,1,2,2,0
0,20000.0,14591.0,1265.0,1277.0,0,3,2,2,0
0,80000.0,35660.0,2000.0,2000.0,0,1,2,3,0
-2,500000.0,13655.0,8351.0,2340.0,-2,1,2,3,0
-1,280000.0,5924.0,5174.0,1078.0,-1,2,2,2,0
0,50000.0,23587.0,1800.0,1775.0,0,1,2,2,0
-2,310000.0,1544.0,1300.0,1000.0,-2,2,1,1,0
-1,180000.0,2488.0,13476.0,3173.0,-1,1,2,2,0
0,90000.0,24401.0,1454.0,1384.0,0,2,2,2,0
0,390000.0,149445.0,8046.0,5150.0,0,2,1,2,0
1,400000.0,13611.0,3019.0,5014.0,1,2,1,2,0
0,320000.0,137574.0,6048.0,6371.0,0,2,1,1,0
-1,200000.0,3877.0,11496.0,1011.0,-1,1,1,1,0
-2,360000.0,0.0,2500.0,0.0,-1,2,1,1,0
0,120000.0,22431.0,1500.0,1000.0,0,2,2,2,0
-1,500000.0,386405.0,25016.0,20018.0,0,2,1,1,0
0,350000.0,54969.0,2087.0,1989.0,0,1,1,1,0
0,90000.0,22109.0,6000.0,5000.0,0,2,2,1,0
0,110000.0,8481.0,4980.0,5124.0,0,1,1,1,0
-1,20000.0,1371.0,796.0,0.0,-1,2,2,1,0
-2,200000.0,1242.0,4034.0,945.0,-2,1,1,1,0
0,260000.0,68411.0,2500.0,4000.0,0,2,2,2,0
0,50000.0,16906.0,1314.0,1147.0,0,1,2,2,0
-1,200000.0,5150.0,10190.0,10190.0,-1,1,2,2,0
0,50000.0,42543.0,1900.0,1428.0,0,2,2,1,0
-1,50000.0,1261.0,1261.0,1261.0,-1,1,1,2,0
-1,330000.0,4785.0,3523.0,0.0,-1,1,2,1,0
0,240000.0,219099.0,8131.0,8123.0,0,1,2,2,0
0,470000.0,190258.0,40012.0,10020.0,0,2,1,2,0
-1,180000.0,3135.0,2833.0,2015.0,-1,2,1,2,0
-1,110000.0,2410.0,2151.0,2161.0,-1,1,2,2,0
-1,350000.0,4439.0,33891.0,16267.0,-1,2,1,1,0
0,200000.0,33781.0,3000.0,2000.0,0,2,1,2,0
0,500000.0,294827.0,20007.0,20026.0,0,1,1,1,0
0,180000.0,74189.0,2000.0,1000.0,0,1,2,2,0
0,130000.0,133461.0,7010.0,6657.0,0,1,2,2,0
-1,180000.0,666.0,662.0,0.0,-1,2,1,1,0
0,60000.0,44801.0,3000.0,4506.0,0,1,1,3,0
-2,50000.0,49860.0,2500.0,1289.0,-2,2,2,1,0
-2,260000.0,134736.0,6067.0,10000.0,-2,1,2,2,0
2,360000.0,286732.0,10792.0,0.0,2,2,2,2,0
0,50000.0,58300.0,7876.0,161.0,0,1,2,3,0
0,200000.0,81865.0,5000.0,2000.0,0,1,2,2,0
-1,140000.0,2937.0,2024.0,1522.0,-1,2,1,1,0
0,80000.0,80000.0,0.0,0.0,0,2,2,1,0
-1,450000.0,29747.0,30323.0,10973.0,0,2,1,1,0
0,80000.0,79148.0,2000.0,2000.0,0,2,1,2,0
0,360000.0,92961.0,10125.0,13092.0,0,1,1,1,0
0,70000.0,69398.0,2667.0,2321.0,0,3,1,1,0
0,150000.0,142827.0,5000.0,4000.0,0,2,2,2,0
-1,200000.0,9918.0,1219.0,1165.0,0,1,2,1,0
0,300000.0,62198.0,1600.0,2600.0,0,2,1,2,0
1,200000.0,-5.0,3470.0,3191.0,-1,2,1,1,0
-1,400000.0,1107.0,3891.0,120407.0,-1,1,2,1,0
0,200000.0,64195.0,3000.0,3000.0,0,2,2,2,0
1,60000.0,-1540.0,0.0,0.0,-2,3,2,2,0
-1,50000.0,2562.0,8769.0,0.0,-1,2,1,3,0
-2,300000.0,3000.0,3300.0,0.0,-2,1,2,1,0
0,100000.0,34704.0,2011.0,2028.0,0,1,1,2,0
0,70000.0,70476.0,2700.0,3500.0,0,2,1,3,0
0,20000.0,18852.0,1500.0,4000.0,0,2,1,2,0
1,190000.0,115056.0,0.0,4413.0,2,2,2,1,0
0,50000.0,10750.0,1507.0,3109.0,0,1,1,2,0
0,270000.0,21586.0,239104.0,7098.0,0,1,2,2,0
0,110000.0,32691.0,4500.0,600.0,0,2,2,1,0
-1,360000.0,47615.0,75351.0,4064.0,-1,1,1,6,0
0,100000.0,94925.0,3889.0,2412.0,0,2,1,3,0
0,500000.0,204198.0,7434.0,6342.0,0,2,1,1,0
-1,500000.0,172041.0,58761.0,13976.0,0,2,1,1,0
0,70000.0,22578.0,1397.0,1410.0,0,2,2,2,0
0,250000.0,215316.0,6845.0,5945.0,0,2,1,1,0
-1,130000.0,2343.0,32322.0,1217.0,-1,2,1,1,0
0,260000.0,18256.0,2934.0,0.0,0,1,2,2,0
-2,150000.0,1723.0,6876.0,240.0,-1,2,2,3,0
-2,200000.0,7812.0,0.0,0.0,-2,1,2,1,0
0,50000.0,48221.0,2571.0,1200.0,0,2,1,2,0
0,200000.0,18012.0,1385.0,1020.0,0,1,2,2,0
-1,300000.0,2285.0,0.0,0.0,-1,1,1,1,0
3,270000.0,256402.0,17944.0,18112.0,3,1,1,1,0
0,230000.0,147300.0,10000.0,5000.0,0,2,2,3,0
-1,140000.0,2515.0,0.0,0.0,-1,1,2,2,0
1,360000.0,71195.0,0.0,1399.0,2,2,1,1,0
1,280000.0,191493.0,1000.0,7600.0,2,2,1,1,0
-1,150000.0,10705.0,1000.0,5162.0,0,2,2,1,0
-1,350000.0,8760.0,5932.0,9908.0,-1,1,2,2,0
-1,130000.0,3820.0,2640.0,30403.0,-1,2,2,1,0
0,210000.0,26749.0,14000.0,3007.0,0,1,2,2,0
-1,20000.0,780.0,0.0,390.0,-1,2,1,2,0
-1,80000.0,3526.0,6687.0,1000.0,-1,2,2,1,0
0,30000.0,1445.0,2000.0,2000.0,0,2,2,3,0
-1,80000.0,1262.0,1642.0,1975.0,-1,1,1,3,0
0,50000.0,49144.0,1500.0,1300.0,0,2,1,2,0
-1,300000.0,1874.0,0.0,0.0,-1,1,1,2,0
2,390000.0,386301.0,17000.0,11000.0,0,2,2,1,0
0,200000.0,194241.0,12000.0,8500.0,0,2,2,1,0
0,480000.0,90258.0,30000.0,1708.0,0,1,2,2,0
0,200000.0,123337.0,11202.0,19275.0,0,1,1,1,0
0,100000.0,100036.0,4702.0,4617.0,0,1,2,3,0
0,80000.0,81841.0,4100.0,2507.0,0,1,2,2,0
-1,130000.0,29547.0,0.0,1500.0,2,1,1,2,0
0,120000.0,108300.0,5000.0,4121.0,0,1,2,3,0
0,300000.0,247279.0,10005.0,9500.0,0,2,2,1,0
0,210000.0,106724.0,4037.0,3519.0,0,1,2,2,0
-1,160000.0,390.0,390.0,390.0,-1,2,2,3,0
-1,360000.0,4134.0,2134.0,982.0,-1,2,1,1,0
0,230000.0,164634.0,7326.0,10000.0,0,2,1,1,0
0,340000.0,351828.0,30076.0,25118.0,0,1,2,1,0
0,80000.0,89394.0,5000.0,19153.0,0,2,1,2,0
0,50000.0,97043.0,2000.0,6943.0,0,2,2,2,0
-1,30000.0,3019.0,1479.0,18881.0,-1,2,2,1,0
-1,210000.0,1360.0,0.0,0.0,-1,2,1,1,0
-2,500000.0,16984.0,87004.0,53192.0,-1,1,2,2,0
0,280000.0,270276.0,11000.0,10000.0,0,2,2,1,0
-1,80000.0,2890.0,9796.0,13443.0,-1,1,2,2,0
2,70000.0,18317.0,0.0,1000.0,2,1,2,3,0
-2,160000.0,0.0,0.0,0.0,-2,1,2,2,0
-1,90000.0,10750.0,100.0,200.0,-1,2,1,1,0
-1,90000.0,2667.0,2667.0,0.0,-1,2,2,2,0
0,180000.0,67414.0,10000.0,10000.0,0,2,2,3,0
0,270000.0,225400.0,9000.0,9348.0,0,2,1,2,0
0,100000.0,44953.0,3000.0,3000.0,0,2,1,2,0
-1,180000.0,950.0,4369.0,9673.0,-1,2,2,1,0
0,220000.0,122286.0,5008.0,5007.0,0,2,1,2,0
